true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
60.9,5.5,70.02803,7.9376316,0.149885556576483,0.4432057467373935
62.45,6.0,71.09817,8.098448,0.138481463882043,0.3497412999471028
93.1,12.8,82.88456,10.670043,0.1097254604581346,0.1664028912782669
86.95,9.5,93.45504,12.107464,0.0748135707651218,0.2744698775442023
84.2,10.0,92.728485,12.056393,0.1012884217033476,0.2056392669677734
93.25,13.1,77.90191,9.927857,0.1645907895494721,0.2421482901536781
99.35,15.2,95.21008,13.488393,0.0416700250849269,0.1126057348753276
102.85,15.4,71.681496,9.191937,0.3030481704763839,0.4031209450263481
99.0,14.0,82.24107,10.960031,0.1692820847636521,0.2171406745910644
93.05,11.8,83.15483,11.3155365,0.1063424940073381,0.0410562288963189
68.45,7.3,68.33037,8.10417,0.0017477276553369,0.1101602528193225
94.2,12.6,92.68017,11.759325,0.0161340960524897,0.066720235915411
76.75,9.2,70.07434,8.46415,0.0869792726995114,0.0799836490465246
107.05,22.8,90.84104,12.017372,0.1514148382537,0.4729222749408923
82.75,9.3,100.92733,13.831128,0.2196656195418712,0.4872180774647701
97.75,13.3,95.57235,13.224807,0.022277753981178,0.005653625144098
92.55,11.9,80.1969,10.343836,0.1334748847751215,0.1307700982614726
97.05,14.6,90.17534,12.538987,0.0708362828942072,0.1411652630322599
63.95,6.3,73.25857,8.511496,0.1455600908531445,0.3510310460650732
73.95,6.6,71.93314,8.593484,0.0272732438712284,0.3020430189190489
95.5,13.9,98.52543,13.877979,0.031679882429033,0.0015842245637084
77.0,7.9,74.69464,8.5287285,0.0299397258015422,0.0795858841908128
97.5,14.8,92.28361,12.773231,0.0535014617137419,0.1369438815761257
89.75,13.1,74.72268,9.427626,0.167435329936673,0.2803339193795473
90.45,12.3,90.3741,12.4875345,0.0008391406142033,0.0152467091878254
80.45,10.8,73.69612,9.260438,0.0839512589705368,0.1425520402413828
61.9,6.7,80.4056,9.829823,0.2989596365341655,0.4671376925795825
89.3,12.8,85.329254,11.501231,0.0444652390773725,0.1014663130044937
99.55,14.8,107.2562,14.923132,0.0774103736590046,0.0083197258614204
78.2,9.7,67.44872,7.7145877,0.1374843626680886,0.2046816816035004
101.0,15.9,93.3819,13.224562,0.0754267626469678,0.1682665602965924
64.55,6.9,77.26652,9.686527,0.1970025970435346,0.4038445293039515
93.45,11.5,91.49275,11.640322,0.0209443330637206,0.0122018897015115
78.05,9.9,66.76679,7.8706646,0.1445638398800348,0.2049833740850892
71.75,7.7,64.44833,7.4283853,0.1017653834113676,0.0352746418544224
79.35,9.8,84.74659,10.860161,0.068009951614928,0.108179676289461
87.0,11.1,96.75148,12.40318,0.1120859781901041,0.1174036146284224
105.35,16.9,92.50793,12.670296,0.1218991272812722,0.2502783600395247
90.95,12.1,86.12832,11.718353,0.0530146367606257,0.03154105194344
85.9,9.9,90.449875,12.829263,0.0529671115009276,0.2958851245918659
73.55,8.6,86.335785,10.899397,0.1738380001646414,0.2673717321351517
91.95,12.9,83.9277,10.662042,0.0872463705489141,0.173485142316005
73.6,11.4,93.70905,13.021646,0.2732208293417226,0.1422496092946905
84.0,9.5,83.58263,11.341426,0.0049687340146019,0.1938343048095703
96.5,12.9,85.98513,11.350392,0.1089623802066467,0.1201246246811031
86.0,11.5,87.80291,11.98912,0.0209640680357467,0.0425321330194887
81.05,9.7,75.677246,8.7513895,0.0662893757711289,0.0977948965485562
78.35,9.9,81.66995,9.590235,0.0423733553615587,0.0312894185384114
61.0,5.5,68.25484,7.677859,0.1189317546907018,0.3959743326360529
68.35,7.3,76.27297,8.885534,0.1159176606720351,0.217196477602606
72.3,7.8,67.82835,7.911965,0.0618485995512944,0.0143544735052646
74.05,9.9,78.701996,9.103167,0.0628223612371286,0.0804882242222025
104.85,17.9,94.161064,13.161445,0.1019450248168886,0.2647237617876276
97.0,12.9,93.364624,13.195477,0.0374781028511597,0.0229051575180171
76.15,8.2,78.31453,9.227409,0.0284245491654012,0.1252938247308499
94.1,11.7,101.74215,14.19352,0.0812130643254766,0.213121332673945
86.65,10.6,80.217865,10.319413,0.074231217654537,0.0264704542339972
93.1,11.1,92.28548,12.231936,0.0087489077919407,0.1019762571867522
93.0,13.3,91.57369,12.579117,0.0153366417013188,0.0542017427602209
78.2,8.6,82.12164,10.345573,0.0501488883172154,0.2029736541038336
91.05,11.6,82.87655,10.727153,0.0897688218880851,0.0752454461722538
90.6,12.6,82.01615,10.797126,0.094744465472156,0.1430852526710146
107.15,14.8,91.93423,12.95384,0.1420044144680719,0.1247405232609929
64.05,8.2,71.182236,7.891064,0.1113541876311231,0.0376751015825968
58.150000000000006,4.8,75.52298,8.472567,0.2987614743994517,0.7651180426279705
90.4,12.1,89.370514,12.068734,0.0113881203980573,0.0025839529746819
105.15,15.6,85.59265,11.8227825,0.1859947563748217,0.2421293258666992
85.6,10.9,72.30761,8.709559,0.1552849350688613,0.2009578494850649
92.4,12.7,89.9962,12.31863,0.026015145438058,0.0300291166530818
85.4,10.3,80.36857,9.993858,0.058916060650935,0.0297224915143356
89.0,11.7,89.70012,11.378074,0.0078665058264571,0.0275150690323266
97.5,14.8,77.791046,10.203055,0.2021431164863782,0.3106043660962904
79.0,9.7,73.542465,8.514248,0.0690827188612539,0.1222424851250402
66.45,7.1,75.73735,9.429782,0.1397644915555633,0.3281382977122992
93.05,12.3,98.608955,13.790169,0.0597415946620181,0.1211519318867504
76.0,7.6,78.51779,9.24961,0.0331288387900904,0.2170539404216566
54.45,5.0,81.20214,10.1891365,0.4913157173205779,1.037827301025391
73.2,8.0,74.35478,8.853354,0.0157757118100025,0.1066693067550659
83.25,10.2,77.16124,9.586938,0.0731382627744932,0.0601041270237342
96.4,13.0,90.727325,13.150204,0.0588451717899054,0.0115541311410757
61.45,5.7,76.467155,9.566085,0.2443800725230751,0.6782605020623458
88.5,11.8,86.09714,10.82464,0.0271509892522952,0.0826576038942499
92.25,12.7,95.68743,13.535493,0.0372621282975525,0.0657868422861174
55.5,3.7,65.99337,7.233996,0.1890697307414836,0.9551340309349264
77.9,8.4,70.29556,8.42337,0.0976179365322128,0.0027821858723957
91.3,12.0,94.915985,12.273142,0.0396055323923535,0.0227618217468261
85.65,11.6,90.15515,12.682753,0.0525995489455632,0.0933407421769767
96.25,13.5,84.395065,11.000692,0.1231681526481331,0.1851338986997251
73.25,8.1,77.5559,9.70421,0.0587836255799381,0.1980506520212433
79.2,9.4,76.84313,9.765164,0.0297584341029928,0.0388472739686356
95.3,15.2,78.34839,10.006468,0.1778762993507344,0.3416797487359297
88.6,12.3,80.95026,10.826011,0.0863402218097488,0.1198365281267864
95.0,14.0,84.7093,11.743386,0.108323187577097,0.1611866950988769
77.8,8.8,66.50879,7.7525783,0.1451312459832904,0.1190251978960904
72.15,8.5,74.33685,8.703648,0.0303098132687975,0.023958542767693
102.95,14.8,97.78639,13.806449,0.0501564622446424,0.0671318286174053
101.25,18.3,90.49023,12.019199,0.1062693654755015,0.3432131491072191
60.5,6.4,62.72803,7.2708173,0.036826961296649,0.1360651999711989
53.55,4.8,67.91134,7.441846,0.2681855986209588,0.5503845612208049
96.55,14.4,106.28511,15.051708,0.1008297304363833,0.0452575153774685
90.05,10.7,91.793495,12.171061,0.019361412306748,0.1374822955265224
95.0,11.5,78.440056,10.471425,0.1743152016087582,0.0894412994384765
85.25,10.0,93.91415,12.674994,0.1016322161095582,0.2674994468688965
96.3,14.0,98.1012,13.071321,0.0187040113090602,0.0663342475891113
76.45,8.8,85.64518,11.253895,0.1202770405302178,0.2788516824895684
70.2,7.5,66.59412,7.8221483,0.0513658659410612,0.0429531097412109
85.55,11.4,76.45889,10.085593,0.1062665947134351,0.1152988400375634
92.05,13.3,88.00798,12.003735,0.0439111314863694,0.0974635647651844
72.95,6.8,73.68992,9.410733,0.0101428172455984,0.3839313563178567
103.35,15.1,79.415634,9.822384,0.2315855427646498,0.3495110012837593
91.25,12.5,99.310616,13.781742,0.0883355127622003,0.1025393676757812
60.95,6.1,78.65466,9.029348,0.290478475569114,0.4802210448218174
81.0,10.3,91.13512,11.525723,0.1251248960141782,0.1190022774113034
